visit_id,provider_id,provider_type_raw,jurisdiction_raw,region_raw,rural_urban_raw,enrollment_year,visit_date_raw,scheduled_visit_year,doses_administered,staff_turnover,prior_technical_assistance,site_visit_delay_days,raw_prior_noncompliance_flag,training_compliant,eligibility_compliant,documentation_compliant,inventory_compliant,storage_handling_compliant
V003274,P00960,Pharmacy,Florida,Southeast,Rural,2013,2022-04-23,2022,606.0,1,1,25,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001338,P00382,Public Health Clinic,Alabama,Southeast,Suburban,2016,2025-09-20,2025,1743.0,0,0,30,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V002912,P00853,Private Clinic,Alabama,Southeast,Suburban,2021,2023-12-17,2023,1609.0,0,1,16,1,Missing,Compliant,Compliant,Missing,Compliant
V000004,P00001,Private Clinic,Florida,Southeast,Suburban,2016,2022-01-19,2022,2444.0,1,1,36,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V000199,P00056,Private Clinic,Virginia,Mid-Atlantic,Urban,2020,2023-01-07,2023,1195.0,0,0,22,1,Compliant,Compliant,Compliant,Missing,Compliant
V004255,P01246,Pediatric Practice,Florida,Southeast,Suburban,2023,2024-06-01,2024,1122.0,1,0,43,1,Compliant,Non-compliant,Non-compliant,Compliant,Non-compliant
V001904,P00561,Pharmacy,Virginia,Mid-Atlantic,Rural,2018,2020-06-09,2020,1031.0,1,0,42,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003574,P01044,Public Health Clinic,Alabama,Southeast,Urban,2019,2024-03-24,2024,4120.0,1,0,42,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001188,P00339,Retail Pharmacy,Florida,Southeast,Urban,2021,not_a_date,2021,971.0,0,0,32,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001738,P00506,Pharmacy,Virginia,Mid-Atlantic,Urban,2022,2023-05-08,2023,991.0,0,1,10,1,Non-compliant,Compliant,Compliant,Non-compliant,Non-compliant
V001687,P00491,Private Clinic,Mississippi,Southeast,Suburban,2013,2022-11-18,2022,1293.0,0,1,17,1,Compliant,Compliant,Non-compliant,Compliant,Non-compliant
V003412,P01000,Pharmacy,South Carolina,Southeast,Urban,2020,2024-12-03,2024,2110.0,0,0,23,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001281,P00367,Private Clinic,Louisiana,South Central,urban ,2024,2020-06-15,2020,1156.0,0,0,26,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002665,P00787,Pediatric Practice,Mississippi,Southeast,Suburban,2020,2020-08-11,2020,2088.0,0,0,22,0,Non-compliant,Compliant,Non-compliant,Compliant,Compliant
V003747,P01094,Public Health Clinic,Tennessee,Southeast,Suburban,2023,2025-05-06,2025,2810.0,1,0,51,0,Compliant,Compliant,Compliant,Compliant,Compliant
V004230,P01241,FQHC,Texas,South Central,Urban,2011,2022-09-21,2022,919.0,0,0,16,0,Compliant,Compliant,Compliant,Compliant,Compliant
V004051,P01180,Retail Pharmacy,Tennessee,Southeast,Urban,2016,2023-10-26,2023,1730.0,0,1,35,1,Compliant,Compliant,Compliant,Non-compliant,Compliant
V003385,P00992,Private Clinic,Tennessee,Southeast,Urban,2023,2022-11-09,2022,1280.0,0,1,3,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003466,P01015,Private Clinic,Louisiana,South Central,Urban,2023,2024-05-26,2024,1517.0,0,0,34,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002095,P00623,Private Clinic,Texas,South Central,Urban,2020,2023-06-18,2023,1401.0,0,0,0,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V002236,P00664,Pediatric practice,Mississippi,Southeast,Urban,2012,2022-05-22,2022,3198.0,0,1,25,1,Compliant,Non-compliant,Missing,Compliant,Compliant
V001142,P00327,Pediatric Practice,Louisiana,South Central,Urban,2022,2023-09-20,2023,975.0,0,0,13,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V000568,P00169,Private Clinic,Georgia,Southeast,Suburban,2019,2020-08-25,2020,1843.0,0,0,27,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V000406,P00117,Public Health Clinic,Mississippi,Southeast,Urban,2024,2025-07-04,2025,3426.0,0,1,29,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003742,P01093,Public Health Clinic,Alabama,Southeast,Urban,2020,2021-11-09,2021,5225.0,0,1,0,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000907,P00258,Retail Pharmacy,Texas,South Central,Rural,2018,2021-09-10,2021,1329.0,0,0,26,1,Compliant,Non-compliant,Non-compliant,Non-compliant,Compliant
V003031,P00887,Public Health Clinic,Texas,South Central,Rural,2014,2019-02-27,2019,3582.0,0,0,34,0,Compliant,Compliant,Non-compliant,Non-compliant,Compliant
V000301,P00082,private clinic ,Georgia,Southeast,Rural,2016,2022-04-11,2022,1677.0,0,1,35,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V002541,P00753,Public Health Clinic,Mississippi,Southeast,Suburban,2021,2025-04-15,2025,6042.0,0,1,0,1,Compliant,Compliant,Compliant,Non-compliant,Compliant
V000328,P00092,Pharmacy,North Carolina,Southeast,Suburban,2012,2019-07-19,2019,963.0,0,0,14,0,Compliant,Non-compliant,Compliant,Compliant,Compliant
V000158,P00046,private clinic ,Texas,South Central,Urban,2024,2021-09-26,2021,1189.0,1,0,25,1,Compliant,Compliant,Compliant,Non-compliant,Non-compliant
V004265,P01249,Private Clinic,Arkansas,South Central,Suburban,2013,2019-12-06,2019,2725.0,1,0,33,0,Non-compliant,Compliant,Non-compliant,Compliant,Compliant
V002049,P00607,Private Clinic,Arkansas,South Central,Rural,2023,2023-06-25,2023,2194.0,1,0,32,1,Non-compliant,Non-compliant,Non-compliant,Compliant,Non-compliant
V004283,P01252,Peds,Virginia,Mid-Atlantic,Urban,2023,2025-01-27,2025,2392.0,0,1,3,1,Non-compliant,Compliant,Compliant,Compliant,Compliant
V001885,P00555,Public Health Clinic,Alabama,Southeast,Urban,2020,2020-03-05,2020,4322.0,0,0,21,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000491,P00144,Public Health Clinic,Tennessee,Southeast,Rural,2014,2019-03-20,2019,5006.0,0,1,2,0,Missing,Compliant,Compliant,Compliant,Compliant
V000460,P00132,Public Health Clinic,Virginia,Mid-Atlantic,Rural,2020,2025-12-23,2025,6045.0,0,0,36,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002111,P00627,FQHC,Virginia,Mid-Atlantic,Suburban,2019,2024-04-26,2024,1728.0,1,0,51,1,Compliant,Non-compliant,Non-compliant,Non-compliant,Compliant
V004485,P01309,Public Health Clinic,Texas,South Central,Rural,2024,2021-02-06,2021,2537.0,0,0,34,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002177,P00649,Public Health Clinic,North Carolina,Southeast,rural ,2019,2024-04-16,2024,1729.0,1,0,39,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001913,P00563,Pediatric Practice,South Carolina,Southeast,Urban,2024,2020-12-10,2020,1446.0,0,1,24,1,Compliant,Non-compliant,Non-compliant,Compliant,Compliant
V000157,P00046,private clinic ,Texas,South Central,Urban,2024,2020-05-22,2020,1528.0,0,1,24,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V000754,P00218,Pharmacy,North Carolina,Southeast,Urban,2020,2021-12-13,2021,744.0,1,0,21,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V003228,P00946,Pharmacy,North Carolina,Southeast,Rural,2014,2021-02-18,2021,395.0,0,0,23,0,Compliant,Compliant,Compliant,Compliant,Compliant
V004148,P01212,Private Clinic,North Carolina,Southeast,Urban,2023,2022-03-11,2022,1431.0,0,1,12,1,Compliant,Non-compliant,Compliant,Non-compliant,Non-compliant
V002880,P00845,Public Health Clinic,Georgia,Southeast,Rural,2016,2023-07-23,2023,3776.0,1,1,49,1,Compliant,Compliant,Non-compliant,Non-compliant,Non-compliant
V000610,P00180,public health clinic,Georgia,Southeast,UNK,2011,2021-08-14,2021,3272.0,0,0,31,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002961,P00867,Hospital,Texas,South Central,,2022,2023-10-24,2023,4354.0,0,1,32,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003646,P01064,Public Health Clinic,Louisiana,South Central,Suburban,2019,2021-10-02,2021,4489.0,0,1,18,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003545,P01036,Public Health Clinic,Virginia,Mid-Atlantic,Rural,2015,2021-07-19,2021,2698.0,0,1,41,1,Non-compliant,Compliant,Compliant,Compliant,Compliant
V003739,P01092,private clinic ,Louisiana,South Central,Suburban,2023,2024-12-03,2024,1117.0,0,0,7,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V004076,P01188,Pediatric Practice,Tennessee,Southeast,Rural,2016,2024-06-25,2024,2048.0,1,0,45,1,Compliant,Non-compliant,Compliant,Non-compliant,Non-compliant
V002253,P00668,Pharmacy,Kentucky,Southeast,Urban,2023,2025-08-25,2025,1012.0,0,1,6,1,Compliant,Compliant,Compliant,Compliant,Missing
V000011,P00003,Public Health Clinic,Tennessee,Southeast,Urban,2014,2025-10-11,2025,2808.0,0,1,38,1,Non-compliant,Compliant,Non-compliant,Compliant,Missing
V001014,P00292,Public Health Clinic,Arkansas,South Central,Urban,2012,2021-09-07,2021,,1,0,38,0,Compliant,Compliant,Compliant,Compliant,Compliant
V004461,P01304,Public Health Clinic,Texas,South Central,rural ,2014,2020-04-12,2020,3332.0,0,0,17,0,Compliant,Compliant,Non-compliant,Compliant,Compliant
V004376,P01279,Pediatric Practice,Mississippi,Southeast,Rural,2014,2020-12-20,2020,6193.0,0,0,34,0,Compliant,Non-compliant,Compliant,Compliant,Missing
V001037,P00299,Pediatric Practice,Virginia,Mid-Atlantic,Suburban,2012,2021-07-18,2021,1559.0,0,0,25,1,Non-compliant,Compliant,Compliant,Compliant,Compliant
V004415,P01289,Pediatric Practice,Louisiana,South Central,Suburban,2019,2019-02-02,2019,1885.0,0,0,40,0,Compliant,Compliant,Non-compliant,Compliant,Non-compliant
V004523,P01319,pharmacy,Mississippi,Southeast,Urban,2022,2019-12-22,2019,901.0,0,0,8,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V000362,P00104,Pediatric Practice,Louisiana,South Central,Rural,2013,2020-07-27,2020,3240.0,0,0,32,0,Non-compliant,Compliant,Non-compliant,Compliant,Compliant
V003270,P00959,public health clinic,Alabama,Southeast,Rural,2019,2024-03-16,2024,1849.0,1,1,48,1,Compliant,Compliant,Compliant,Non-compliant,Non-compliant
V000697,P00203,Private Clinic,Kentucky,Southeast,Suburban,2019,2020-02-05,2020,2378.0,0,0,31,1,Non-compliant,Compliant,Non-compliant,Non-compliant,Non-compliant
V000154,P00045,Public Health Clinic,Texas,South Central,Rural,2017,2023-06-27,2023,1768.0,0,0,16,1,Compliant,Compliant,Compliant,Compliant,Missing
V003234,P00948,Public Health Clinic,Alabama,Southeast,Rural,2014,2020-03-14,2020,5469.0,0,1,36,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000602,P00178,Pediatric Practice,Mississippi,Southeast,urban ,2013,2021-08-26,2021,1951.0,0,0,26,1,Non-compliant,Compliant,Compliant,Compliant,Compliant
V003818,P01113,Pharmacy,Texas,South Central,Urban,2022,2025-09-26,2025,672.0,0,1,20,1,Compliant,Compliant,Compliant,Non-compliant,Missing
V004216,P01236,Private Clinic,Arkansas,South Central,Rural,2024,2019-12-15,2019,1535.0,0,0,38,0,Compliant,Compliant,Compliant,Missing,Missing
V004302,P01257,Pharmacy,Louisiana,South Central,Suburban,2015,2023-01-21,2023,1399.0,0,0,25,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001909,P00562,Federally Qualified Health Center,Louisiana,South Central,Urban,2019,2022-01-07,2022,1246.0,0,0,11,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003537,P01034,Pediatric Practice,Louisiana,South Central,Urban,2011,2021-08-09,2021,3037.0,0,0,27,1,Compliant,Compliant,Compliant,Non-compliant,Non-compliant
V003334,P00977,Pediatric Practice,Arkansas,South Central,Rural,2017,2025-01-11,2025,5790.0,0,1,35,1,Non-compliant,Compliant,Compliant,Non-compliant,Non-compliant
V003404,P00999,FQHC,Virginia,Mid-Atlantic,UNK,2018,2021-06-01,2021,1774.0,1,1,23,1,Non-compliant,Compliant,Compliant,Compliant,Non-compliant
V004422,P01290,Pediatric Practice,North Carolina,Southeast,Rural,2014,2022-06-03,2022,3033.0,0,0,33,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V000870,P00250,Private Clinic,Kentucky,Southeast,Rural,2024,2019-09-20,2019,2071.0,0,0,26,0,Non-compliant,Compliant,Non-compliant,Non-compliant,Compliant
V000037,P00011,Pharmacy,Alabama,Southeast,Urban,2016,2022-12-18,2022,809.0,0,0,29,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001337,P00382,Public Health Clinic,Alabama,Southeast,Suburban,2016,2023-11-12,2023,-99.0,0,0,24,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V000113,P00036,Public Health Clinic,Tennessee,Southeast,Urban,2021,2020-10-20,2020,4936.0,0,0,2,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001654,P00481,Hospital,North Carolina,Southeast,Rural,2022,2024-10-07,2024,3563.0,0,0,48,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V000891,P00254,FQHC,Virginia,Mid-Atlantic,Urban,2023,2022-03-04,2022,1591.0,0,1,18,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002645,P00782,Hospital,Virginia,Mid-Atlantic,Urban,2022,2021-06-03,2021,2677.0,0,1,29,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V000957,P00273,Pediatric Practice,Arkansas,South Central,Suburban,2018,2022-10-21,2022,1972.0,0,0,44,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000191,P00054,Hospital,Tennessee,Southeast,UNK,2013,2022-03-13,2022,8548.0,0,1,24,0,Compliant,Compliant,Missing,Compliant,Compliant
V004501,P01312,FQHC,Mississippi,Southeast,Urban,2020,2020-01-20,2020,1300.0,0,1,13,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002830,P00832,Pediatric Practice,Texas,South Central,Urban,2012,2023-08-10,2023,,0,1,6,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000608,P00179,Private Clinic,Georgia,Southeast,Rural,2020,2021-06-06,2021,2135.0,0,0,39,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003184,P00928,Private Clinic,Georgia,Southeast,Suburban,2023,2021-12-06,2021,1318.0,1,1,26,1,Compliant,Compliant,Missing,Non-compliant,Non-compliant
V002958,P00867,Hospital,Texas,South Central,,2022,2020-03-09,2020,8620.0,0,0,23,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V003152,P00921,Pediatric Practice,North Carolina,Southeast,Urban,2022,2023-07-10,2023,2581.0,0,1,9,1,Compliant,Compliant,Compliant,Non-compliant,Compliant
V000708,P00207,Public Health Clinic,Virginia,Mid-Atlantic,Suburban,2021,2025-04-11,2025,1751.0,0,1,8,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003380,P00991,FQHC,Louisiana,South Central,Urban,2024,2021-09-12,2021,1693.0,0,0,27,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003304,P00969,Public Health Clinic,Mississippi,Southeast,Rural,2022,2019-05-10,2019,3168.0,0,0,37,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000776,P00224,,Alabama,Southeast,Urban,2013,2025-08-07,2025,692.0,0,1,16,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000170,P00050,FQHC,Florida,Southeast,Urban,2016,2020-09-05,2020,2287.0,0,0,30,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002652,P00784,Private Clinic,Arkansas,South Central,Urban,2019,2020-06-12,2020,1250.0,0,0,37,1,Non-compliant,Compliant,Non-compliant,Compliant,Compliant
V003915,P01141,Pediatric Practice,Georgia,Southeast,,2016,2024-02-11,2024,1651.0,0,0,51,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001527,P00443,Federally Qualified Health Center,Kentucky,Southeast,Suburban,2022,2019-04-26,2019,931.0,0,0,26,0,Compliant,Compliant,Compliant,Missing,Compliant
V000333,P00092,Pharmacy,North Carolina,Southeast,Suburban,2012,2025-03-12,2025,1373.0,0,0,12,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V002453,P00728,Priv Clinic,South Carolina,Southeast,Urban,2017,2021-08-15,2021,2753.0,1,0,34,0,Compliant,Compliant,Compliant,Compliant,Missing
V001791,P00522,Pharmacy,Florida,Southeast,rural ,2014,2019-09-13,2019,283.0,0,0,0,0,Compliant,Compliant,Non-compliant,Compliant,Missing
V002176,P00649,Public Health Clinic,North Carolina,Southeast,rural ,2019,2022-09-10,2022,1918.0,0,0,21,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002290,P00679,Private Clinic,Alabama,Southeast,Urban,2021,2021-08-10,2021,903.0,1,0,30,1,Non-compliant,Non-compliant,Non-compliant,Non-compliant,Non-compliant
V002902,P00851,Private Clinic,Florida,Southeast,Urban,2021,2021-09-27,2021,2228.0,0,0,16,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002888,P00848,Private Clinic,Florida,Southeast,Suburban,2013,2019-04-04,2019,1873.0,1,0,33,0,Missing,Compliant,Non-compliant,Non-compliant,Compliant
V000832,P00239,FQHC,South Carolina,Southeast,Rural,2024,2020-01-13,2020,1624.0,1,0,41,0,Non-compliant,Non-compliant,Compliant,Missing,Compliant
V002121,P00631,Private Clinic,Virginia,Mid-Atlantic,Suburban,2021,2020-04-14,2020,1211.0,1,0,26,1,Missing,Non-compliant,Non-compliant,Non-compliant,Non-compliant
V000196,P00055,Pediatric Practice,Alabama,Southeast,Urban,2017,2024-10-18,2024,2521.0,0,0,22,0,Missing,Compliant,Non-compliant,Compliant,Compliant
V002717,P00799,Pediatric Practice,Alabama,Southeast,Rural,2016,2023-01-03,2023,3586.0,1,1,41,1,Non-compliant,Non-compliant,Non-compliant,Compliant,Compliant
V001667,P00485,Public Health Clinic,Arkansas,South Central,Rural,2018,2023-09-21,2023,4031.0,1,0,23,0,Compliant,Compliant,Compliant,Missing,Compliant
V003507,P01024,Private Clinic,Mississippi,Southeast,Urban,2011,2025-07-20,2025,1496.0,1,1,51,1,Compliant,Compliant,Compliant,Missing,Compliant
V000598,P00177,Pediatric Practice,Arkansas,South Central,Urban,2021,2021-08-17,2021,4288.0,0,0,19,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001752,P00510,Priv Clinic,Louisiana,South Central,Suburban,2014,2025-07-26,2025,967.0,0,1,18,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003501,P01023,Pharmacy,South Carolina,Southeast,Urban,2015,2023-12-11,2023,921.0,1,1,29,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V002165,P00643,Pediatric Practice,Alabama,Southeast,rural ,2016,2022-08-08,2022,3523.0,1,1,38,1,Non-compliant,Non-compliant,Compliant,Compliant,Compliant
V003465,P01015,Private Clinic,Louisiana,South Central,Urban,2023,2020-10-05,2020,1282.0,0,0,17,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V003000,P00878,Public Health Clinic,Mississippi,Southeast,Urban,2024,2021-04-23,2021,2735.0,0,1,31,0,Compliant,Compliant,Compliant,Compliant,Compliant
V004291,P01254,Pharmacy,Arkansas,South Central,UNK,2018,2022-04-05,2022,1137.0,0,0,49,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000818,P00235,Federally Qualified Health Center,Texas,South Central,Rural,2019,2025-02-25,2025,1092.0,1,0,50,1,Compliant,Compliant,Non-compliant,Compliant,Non-compliant
V001735,P00506,Pharmacy,Virginia,Mid-Atlantic,Urban,2022,2019-03-17,2019,907.0,0,0,10,0,Compliant,Non-compliant,Non-compliant,Compliant,Compliant
V004131,P01209,Pharmacy,North Carolina,Southeast,Urban,2019,2019-07-13,2019,1333.0,0,0,36,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V002207,P00656,Private Clinic,Virginia,Mid-Atlantic,urban ,2015,2019-07-18,2019,1242.0,0,0,55,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002979,P00873,Public Health Clinic,Florida,Southeast,Rural,2023,2024-03-08,2024,2120.0,0,0,28,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002422,P00720,Pharmacy,Kentucky,Southeast,Urban,2011,2023-09-07,2023,860.0,1,0,20,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001076,P00310,Public Health Clinic,North Carolina,Southeast,Urban,2011,2021-04-19,2021,4315.0,0,0,44,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001927,P00567,Private Clinic,Mississippi,Southeast,Urban,2012,2020-03-03,2020,3954.0,0,1,16,0,Missing,Compliant,Compliant,Compliant,Compliant
V003389,P00993,Private Clinic,Alabama,Southeast,Urban,2014,2022-01-04,2022,1892.0,0,0,27,0,Missing,Compliant,Compliant,Non-compliant,Compliant
V002832,P00832,Pediatric Practice,Texas,South Central,Urban,2012,not_a_date,2025,3703.0,0,0,41,1,Compliant,Non-compliant,Compliant,Compliant,Compliant
V001783,P00519,Pediatric Practice,Arkansas,South Central,rural ,2016,2021-01-26,2021,1323.0,0,0,31,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001658,P00482,Peds,Louisiana,South Central,Rural,2011,2024-05-12,2024,2308.0,1,1,26,1,Missing,Compliant,Compliant,Compliant,Compliant
V002980,P00874,Pharmacy,South Carolina,Southeast,Urban,2014,2021-05-12,2021,913.0,1,0,33,0,Non-compliant,Compliant,Compliant,Compliant,Non-compliant
V002371,P00705,Pediatric practice,Mississippi,Southeast,Suburban,2011,2025-06-25,2025,5387.0,1,0,35,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V000579,P00171,Pharmacy,Virginia,Mid-Atlantic,Rural,2016,2020-07-24,2020,1732.0,0,0,24,1,Compliant,Compliant,Compliant,Non-compliant,Compliant
V002250,P00668,Pharmacy,Kentucky,Southeast,Urban,2023,2021-05-03,2021,1003.0,0,1,34,1,Compliant,Compliant,Compliant,Non-compliant,Compliant
V000272,P00076,,Louisiana,South Central,Suburban,2012,2024-05-24,2024,772.0,1,1,55,1,Compliant,Compliant,Compliant,Non-compliant,Missing
V001837,P00540,Pharmacy,Texas,South Central,Suburban,2017,2023-08-18,2023,1240.0,1,0,55,0,Compliant,Non-compliant,Missing,Compliant,Compliant
V002713,P00799,Pediatric Practice,Alabama,Southeast,Rural,2016,2019-05-02,2019,2795.0,0,0,34,0,Missing,Compliant,Compliant,Missing,Compliant
V001446,P00415,Pediatric Practice,North Carolina,Southeast,Rural,2019,2025-05-16,2025,2828.0,1,1,38,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000645,P00190,Public Health Clinic,South Carolina,Southeast,Rural,2022,2024-04-26,2024,3386.0,0,0,28,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002670,P00788,Pediatric Practice,Alabama,Southeast,Urban,2022,2019-09-27,2019,1670.0,0,0,29,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V003932,P01148,FQHC,Virginia,Mid-Atlantic,Rural,2021,not_a_date,2020,738.0,0,0,28,0,Compliant,Missing,Compliant,Compliant,Compliant
V002941,P00861,Private Clinic,Virginia,Mid-Atlantic,rural ,2014,2025-11-10,2025,4391.0,0,1,14,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V003885,P01133,Peds,Florida,Southeast,Urban,2024,2025-02-19,2025,2983.0,0,0,7,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003677,P01072,Pediatric Practice,Mississippi,Southeast,Suburban,2021,2023-03-05,2023,1817.0,0,1,24,1,Compliant,Non-compliant,Compliant,Compliant,Compliant
V000757,P00218,Pharmacy,North Carolina,Southeast,Urban,2020,2024-07-12,2024,1377.0,0,0,36,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003487,P01020,Private Clinic,Texas,South Central,Rural,2012,2020-05-11,2020,1701.0,0,0,22,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V000559,P00167,Private Clinic,Mississippi,Southeast,Rural,2024,2021-04-10,2021,1340.0,0,0,37,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V000235,P00067,Pharmacy,Arkansas,South Central,urban ,2017,2024-01-17,2024,1153.0,0,1,9,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V003893,P01136,Pediatric Practice,Georgia,Southeast,Suburban,2017,2021-12-06,2021,2139.0,0,0,15,0,Compliant,Compliant,Compliant,Compliant,Missing
V002353,P00701,FQHC,Texas,South Central,Suburban,2024,2019-06-15,2019,477.0,0,0,25,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000498,P00147,Public Health Clinic,Arkansas,South Central,Rural,2012,2022-10-12,2022,2362.0,0,0,15,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001928,P00567,Private Clinic,Mississippi,Southeast,Urban,2012,2021-10-27,2021,1917.0,1,0,33,0,Compliant,Non-compliant,Non-compliant,Compliant,Compliant
V003772,P01102,Federally Qualified Health Center,Texas,South Central,Rural,2019,2022-09-18,2022,1703.0,0,0,15,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000118,P00037,Public Health Clinic,Mississippi,Southeast,Urban,2020,2021-07-18,2021,2217.0,0,1,19,1,Compliant,Non-compliant,Compliant,Compliant,Compliant
V000312,P00084,Public Health Clinic,South Carolina,Southeast,Urban,2016,2024-12-10,2024,2464.0,0,0,30,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002921,P00855,Pediatric Practice,Arkansas,South Central,Suburban,2021,2021-03-15,2021,2265.0,1,0,41,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002306,P00683,FQHC,Texas,South Central,Urban,2015,2023-08-03,2023,606.0,0,1,48,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000501,P00148,Public Health Clinic,North Carolina,Southeast,Urban,2021,2020-07-11,2020,2923.0,0,0,29,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V000737,P00213,Private Clinic,Alabama,Southeast,Suburban,2023,2024-01-22,2024,1641.0,0,1,19,0,Compliant,Non-compliant,Compliant,Compliant,Compliant
V000542,P00161,Public Health Clinic,Georgia,Southeast,Rural,2012,2019-06-27,2019,2159.0,0,1,32,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V002048,P00607,Private Clinic,Arkansas,South Central,Rural,2023,2022-09-06,2022,2994.0,0,0,20,0,Non-compliant,Compliant,Non-compliant,Compliant,Compliant
V002119,P00630,Hospital,Texas,South Central,Urban,2024,2025-04-13,2025,4196.0,0,0,20,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V002197,P00654,Federally Qualified Health Center,Mississippi,Southeast,Rural,2013,2020-04-13,2020,3672.0,0,1,20,1,Compliant,Compliant,Missing,Non-compliant,Compliant
V000884,P00253,Public Health Clinic,South Carolina,Southeast,Rural,2013,2021-04-13,2021,8571.0,0,0,18,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003397,P00997,Retail Pharmacy,Tennessee,Southeast,Rural,2022,2021-07-23,2021,2073.0,1,0,43,1,Compliant,Non-compliant,Non-compliant,Non-compliant,Non-compliant
V001402,P00402,Private Clinic,Arkansas,South Central,Rural,2024,2024-09-03,2024,2473.0,0,0,27,1,Compliant,Compliant,Compliant,Non-compliant,Missing
V002404,P00715,Pharmacy,South Carolina,Southeast,Rural,2011,2022-02-24,2022,996.0,0,0,39,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001391,P00400,Hospital,Alabama,Southeast,Urban,2016,2019-04-01,2019,10627.0,0,0,15,0,Compliant,Compliant,Compliant,Compliant,Compliant
